,A1-P1,A2-P2,A3-P3,A4-P4,A5-P5,A6-P6,A7-P7,A8-P8,A9-P9,A10-P10,A11-P11,A12-P12,A13-P13,A14-P14,A15-P15,A16-P16,A17-P17,A18-P18,A19-P19,,
Text1,3.0914,2.0557,3.181,3.2096,2.391,2.8399,1.6057,1.9767,1.9602,1.8241,2.008,2.0804,2.1407,2.7005,2.4703,1.4839,2.0591,1.9337,2.0913,max,3.2976
Text2,2.1609,2.341,1.7048,2.1621,1.6058,2.9805,2.5104,2.0824,1.7413,2.0956,1.6556,3.0025,2.5114,2.5189,3.1799,2.7477,2.425,1.9029,2.0761,min,1.4005
Text3,1.7319,2.3044,1.4013,2.5175,2.9879,2.2052,2.9995,2.2311,2.2772,2.04,1.6582,1.7538,2.5691,1.9631,1.8203,2.9155,3.207,1.9235,2.6817,,
Text4,1.7895,3.1687,2.6801,2.508,2.3953,3.1427,2.9562,1.8356,1.4005,2.5855,1.6528,2.101,1.9692,1.4145,2.1082,1.8247,3.2184,2.7415,3.0888,,
Text5,1.7387,3.1688,2.7447,2.2572,2.4667,1.8295,1.5707,3.0535,2.0726,1.7069,2.0496,1.9178,1.9741,2.5736,2.5026,2.0721,3.0867,2.5683,3.0905,,
Text6,2.8759,1.9563,3.0463,2.1558,1.5813,1.5213,1.6475,2.3221,2.8044,1.5839,1.9082,2.807,2.536,1.5687,2.3932,2.0572,3.2688,2.212,3.1859,,
Text7,3.156,2.36,2.744,3.2507,2.8598,2.7141,2.2966,2.8569,2.3821,1.8316,2.4993,2.0733,2.6651,2.8453,2.4805,1.4935,2.5114,1.9261,2.463,,
Text8,1.8264,2.6073,3.1859,2.2508,2.9637,2.3375,3.2936,2.6438,2.7944,2.05,1.7297,2.3079,1.8324,3.1149,2.7855,2.2373,3.1096,2.1919,3.2388,,
Text9,2.5454,2.0446,3.0398,1.6655,1.8256,3.0821,1.7918,2.5963,1.7616,1.5976,2.5895,3.1002,2.6435,2.4606,2.2156,1.6402,2.4923,3.0639,2.3461,,
Text10,2.8608,3.1719,1.9607,3.1598,2.3268,1.9453,1.5879,2.27,2.2713,1.6939,1.8728,1.438,1.4899,3.0782,2.9496,2.2531,3.2276,1.766,2.9172,,
Text11,2.8511,2.5598,1.4397,3.2315,2.64,1.9425,2.3491,1.6259,2.4209,3.1991,2.5672,2.6128,2.1805,3.2844,2.841,1.5276,2.7472,1.9665,3.2976,,
Text12,2.2607,2.2014,2.0944,3.2178,1.7943,2.5706,3.0412,1.9246,3.0423,3.0545,3.161,3.1489,1.7889,1.4591,2.3101,1.5744,2.4752,2.5756,3.0413,,
Text13,1.5554,2.7284,1.552,2.4831,1.9244,1.6682,2.6157,2.1851,1.4186,2.4478,1.6425,1.964,2.7511,3.2041,1.5423,2.7519,3.2032,1.9092,2.717,,
